estado,cidade,latitude,longitude
Paraná,Flórida,-23.0861312,-51.9540843
Paraná,Formosa do Oeste,-24.2966562,-53.312801
Paraná,Foz do Iguaçu,-25.5304023,-54.5830692
Paraná,Foz do Jordão,-25.7377144,-52.1209188
Paraná,Francisco Alves,-24.0694395,-53.844348
Paraná,Francisco Beltrão,-26.0790979,-53.0533527
Paraná,General Carneiro,-26.422982,-51.3146691
Paraná,Godoy Moreira,-24.1925289,-51.9232662
Paraná,Goioerê,-24.1851885,-53.0250623
Paraná,Goioxim,-25.1987274,-51.9924229
Paraná,Grandes Rios,-24.1454626,-51.5063628
Paraná,Guaíra,-24.0851924,-54.2567519
Paraná,Guairaçá,-22.9352304,-52.6865101
Paraná,Guamiranga,-25.1909033,-50.8116961
Paraná,Guapirama,-23.5164582,-50.0431538
Paraná,Guaporema,-23.340218,-52.778605
Paraná,Guaraci,-22.970394,-51.6479769
Paraná,Guaraniaçu,-25.10035,-52.867811
Paraná,Guarapuava,-25.3950986,-51.4622016
Paraná,Guaraqueçaba,-25.2983566,-48.3290185
Paraná,Guaratuba,-25.8806192,-48.5750905
Paraná,Honório Serpa,-26.143149,-52.383794
Paraná,Ibaiti,-23.8452962,-50.1905666
Paraná,Ibema,-25.1192916,-53.0071928
Paraná,Ibiporã,-23.2684137,-51.0475907
Paraná,Icaraíma,-23.3948345,-53.6162036
Paraná,Iguaraçu,-23.1972911,-51.8244524
Paraná,Iguatu,-24.7170385,-53.0865561
Paraná,Imbaú,-24.447597,-50.7557188
Paraná,Imbituva,-25.2293338,-50.6051002
Paraná,Inácio Martins,-25.5725435,-51.0764637
Paraná,Inajá,-22.7530214,-52.1976067
Paraná,Indianópolis,-23.4807249,-52.6987037
Paraná,Ipiranga,-25.0239759,-50.5854615
Paraná,Iporã,-24.0039474,-53.7100595
Paraná,Iracema do Oeste,-24.427888,-53.3539137
Paraná,Irati,-25.469663,-50.649287
Paraná,Iretama,-24.4205941,-52.1013532
Paraná,Itaguajé,-22.618282,-51.967351
Paraná,Itaipulândia,-25.1417007,-54.2980691
Paraná,Itambaracá,-23.0176678,-50.406887
Paraná,Itambé,-23.659424,-51.9903555
Paraná,Itapejara d'Oeste,-25.9651274,-52.8149217
Paraná,Itaperuçu,-25.2212291,-49.3458394
Paraná,Itaúna do Sul,-22.7302304,-52.8854393
Paraná,Ivaí,-25.0069795,-50.8568896
Paraná,Ivaiporã,-24.2433517,-51.6719268
Paraná,Ivaté,-23.4084656,-53.3698352
Paraná,Ivatuba,-23.618722,-52.2174491
Paraná,Jaboti,-23.7419073,-50.0752639
Paraná,Jacarezinho,-23.1590428,-49.9739664
Paraná,Jaguapitã,-23.1102516,-51.5327741
Paraná,Jaguariaíva,-24.2589699,-49.7201518
Paraná,Jandaia do Sul,-23.6003907,-51.645674
Paraná,Janiópolis,-24.140124,-52.77836
Paraná,Japira,-23.8119773,-50.1397133
Paraná,Japurá,-23.469273,-52.55572
Paraná,Jardim Alegre,-24.1795192,-51.6927177
Paraná,Jardim Olinda,-22.5520625,-52.036373
Paraná,Jataizinho,-23.257815,-50.977748
Paraná,Jesuítas,-24.3807263,-53.3855699
Paraná,Joaquim Távora,-23.4999724,-49.9232545
Paraná,Jundiaí do Sul,-23.4369861,-50.2478173
Paraná,Juranda,-24.420866,-52.841344
Paraná,Jussara,-23.621931,-52.46931
Paraná,Kaloré,-23.8242643,-51.6683666
Paraná,Lapa,-25.76709,-49.716777
Paraná,Laranjal,-24.8909736,-52.4726747
Paraná,Laranjeiras do Sul,-25.4073197,-52.4150132
Paraná,Leópolis,-23.0789091,-50.7501808
Paraná,Lidianópolis,-24.1073464,-51.6525676
Paraná,Lindoeste,-25.2608275,-53.5758136
Paraná,Loanda,-22.9320944,-53.1352452
Paraná,Lobato,-23.0077055,-51.9524309
Paraná,Londrina,-23.3112878,-51.1595023
Paraná,Luiziana,-24.2838237,-52.2767531
Paraná,Lunardelli,-24.0793542,-51.7421822
Paraná,Lupionópolis,-22.7558205,-51.6575301
Paraná,Mallet,-25.8829457,-50.8289338
Paraná,Mamborê,-24.3084433,-52.5298446
Paraná,Mandaguaçu,-23.3485076,-52.0966215
Paraná,Mandaguari,-23.5224849,-51.6787511
Paraná,Mandirituba,-25.7772457,-49.3279107
Paraná,Manfrinópolis,-26.1440729,-53.3113372
Paraná,Mangueirinha,-25.9412009,-52.1740852
Paraná,Manoel Ribas,-24.5177239,-51.6685729
Paraná,Marechal Cândido Rondon,-24.5582532,-54.0587821
Paraná,Maria Helena,-23.6139395,-53.206135
Paraná,Marialva,-23.4820987,-51.795788
Paraná,Marilândia do Sul,-23.7462425,-51.3021452
Paraná,Marilena,-22.7358333,-53.04
Paraná,Mariluz,-24.0031216,-53.148113
Paraná,Maringá,-23.425269,-51.9382078
Paraná,Mariópolis,-26.3518327,-52.5491563
Paraná,Maripá,-24.419978,-53.828641
Paraná,Marmeleiro,-26.1472,-53.026741
Paraná,Marquinho,-25.1133759,-52.2581854
Paraná,Marumbi,-23.7070343,-51.6408276
Paraná,Matelândia,-25.2404183,-53.9835004
Paraná,Matinhos,-25.8187096,-48.534204
Paraná,Mato Rico,-24.7045571,-52.1493001
Paraná,Mauá da Serra,-23.9045517,-51.2261166
Paraná,Medianeira,-25.2954233,-54.0940666
Paraná,Mercedes,-24.4504957,-54.1647255
Paraná,Mirador,-23.257015,-52.7756432
Paraná,Miraselva,-22.9675823,-51.4847793
Paraná,Missal,-25.0913359,-54.2476738
Paraná,Moreira Sales,-24.0509413,-53.0101722
Paraná,Morretes,-25.4768503,-48.8322501
Paraná,Munhoz de Mello,-23.1486583,-51.7737332
Paraná,Nossa Senhora das Graças,-22.9138823,-51.7962681
Paraná,Nova Aliança do Ivaí,-23.176271,-52.603244
Paraná,Nova América da Colina,-23.3315888,-50.7182735
Paraná,Nova Aurora,-24.5282336,-53.2576703
Paraná,Nova Cantu,-24.6739252,-52.5731265
Paraná,Nova Esperança do Sudoeste,-25.9004038,-53.2617627
Paraná,Nova Esperança,-23.1818437,-52.1999852
Paraná,Nova Fátima,-23.433056,-50.5618055
Paraná,Nova Laranjeiras,-25.305376,-52.544682
Paraná,Nova Londrina,-22.7633621,-52.9875908
Paraná,Nova Olímpia,-23.4699403,-53.090112
Paraná,Nova Prata do Iguaçu,-25.6325323,-53.3463611
Paraná,Nova Santa Bárbara,-23.5860638,-50.7638011
Paraná,Nova Santa Rosa,-24.468132,-53.9547649
Paraná,Nova Tebas,-24.437958,-51.945357
Paraná,Novo Itacolomi,-23.7635774,-51.5076578
Paraná,Ortigueira,-24.2088891,-50.925043
Paraná,Ourizona,-23.4047001,-52.1954085
Paraná,Ouro Verde do Oeste,-24.7741302,-53.906938
Paraná,Paiçandu,-23.4575884,-52.048988
Paraná,Palmas,-26.483868,-51.988812
Paraná,Palmeira,-25.4269718,-49.9987787
Paraná,Palmital,-24.8842985,-52.2113941
Paraná,Palotina,-24.2839929,-53.8405463
Paraná,Paraíso do Norte,-23.2841185,-52.6024125
Paraná,Paranacity,-22.9304971,-52.1523164
Paraná,Paranaguá,-25.5148822,-48.5226695
Paraná,Paranapoema,-22.6561084,-52.0865163
Paraná,Paranavaí,-23.08165,-52.461724
Paraná,Pato Bragado,-24.6270545,-54.2264587
Paraná,Pato Branco,-26.2295984,-52.6712474
Paraná,Paula Freitas,-26.2092739,-50.936462
Paraná,Paulo Frontin,-26.0399524,-50.8337759
Paraná,Peabiru,-23.9142123,-52.3455598
Paraná,Perobal,-23.894861,-53.409838
Paraná,Pérola,-23.8031666,-53.6824972
Paraná,Pérola d'Oeste,-25.827794,-53.743333
Paraná,Piên,-26.0988916,-49.4297904
Paraná,Pinhais,-25.4443488,-49.1900307
Paraná,Pinhal de São Bento,-26.0326418,-53.4837511
Paraná,Pinhalão,-23.7889966,-50.0577318
Paraná,Pinhão,-25.6960895,-51.6566366
Paraná,Piraí do Sul,-24.5346602,-49.9399216
Paraná,Piraquara,-25.4423273,-49.0604473
Paraná,Pitanga,-24.759586,-51.7637582
Paraná,Pitangueiras,-23.2313428,-51.587301
Paraná,Planaltina do Paraná,-23.0228724,-52.9160307
Paraná,Planalto,-25.7184492,-53.767216
Paraná,Ponta Grossa,-25.0891685,-50.1601812
Paraná,Pontal do Paraná,-25.574765,-48.3614806
Paraná,Porecatu,-22.753724,-51.37949
Paraná,Porto Amazonas,-25.5494226,-49.8973805
Paraná,Porto Barreiro,-25.5466703,-52.409026
Paraná,Porto Rico,-22.774742,-53.267731
Paraná,Porto Vitória,-26.1605673,-51.2239397
Paraná,Prado Ferreira,-23.039784,-51.4431235
Paraná,Pranchita,-26.0209403,-53.7396825
Paraná,Presidente Castelo Branco,-23.2790844,-52.1528771
Paraná,Primeiro de Maio,-22.851714,-51.029251
Paraná,Prudentópolis,-25.203358,-50.9895774
Paraná,Quarto Centenário,-24.27904,-53.075881
Paraná,Quatiguá,-23.5669626,-49.9160315
Paraná,Quatro Barras,-25.3708987,-49.0745672
Paraná,Quatro Pontes,-24.5741062,-53.9780237
Paraná,Quedas do Iguaçu,-25.453001,-52.9090429
Paraná,Querência do Norte,-23.083758,-53.483022
Paraná,Quinta do Sol,-23.8494169,-52.1334452
