,estado,cidade
1024,Rio Grande do Sul,Pouso Novo
1025,Rio Grande do Sul,Presidente Lucena
1026,Rio Grande do Sul,Progresso
1027,Rio Grande do Sul,Protásio Alves
1028,Rio Grande do Sul,Putinga
1029,Rio Grande do Sul,Quaraí
1030,Rio Grande do Sul,Quatro Irmãos
1031,Rio Grande do Sul,Quevedos
1032,Rio Grande do Sul,Quinze de Novembro
1033,Rio Grande do Sul,Redentora
1034,Rio Grande do Sul,Relvado
1035,Rio Grande do Sul,Restinga Sêca
1036,Rio Grande do Sul,Rio dos Índios
1037,Rio Grande do Sul,Rio Grande
1038,Rio Grande do Sul,Rio Pardo
1039,Rio Grande do Sul,Riozinho
1040,Rio Grande do Sul,Roca Sales
1041,Rio Grande do Sul,Rodeio Bonito
1042,Rio Grande do Sul,Rolador
1043,Rio Grande do Sul,Rolante
1044,Rio Grande do Sul,Ronda Alta
1045,Rio Grande do Sul,Rondinha
1046,Rio Grande do Sul,Roque Gonzales
1047,Rio Grande do Sul,Rosário do Sul
1048,Rio Grande do Sul,Sagrada Família
1049,Rio Grande do Sul,Saldanha Marinho
1050,Rio Grande do Sul,Salto do Jacuí
1051,Rio Grande do Sul,Salvador das Missões
1052,Rio Grande do Sul,Salvador do Sul
1053,Rio Grande do Sul,Sananduva
1054,Rio Grande do Sul,Santa Bárbara do Sul
1055,Rio Grande do Sul,Santa Cecília do Sul
1056,Rio Grande do Sul,Santa Clara do Sul
1057,Rio Grande do Sul,Santa Cruz do Sul
1058,Rio Grande do Sul,Santa Margarida do Sul
1059,Rio Grande do Sul,Santa Maria
1060,Rio Grande do Sul,Santa Maria do Herval
1061,Rio Grande do Sul,Santa Rosa
1062,Rio Grande do Sul,Santa Tereza
1063,Rio Grande do Sul,Santa Vitória do Palmar
1064,Rio Grande do Sul,Santana da Boa Vista
1065,Rio Grande do Sul,Sant'Ana do Livramento
1066,Rio Grande do Sul,Santiago
1067,Rio Grande do Sul,Santo Ângelo
1068,Rio Grande do Sul,Santo Antônio da Patrulha
1069,Rio Grande do Sul,Santo Antônio das Missões
1070,Rio Grande do Sul,Santo Antônio do Palma
1071,Rio Grande do Sul,Santo Antônio do Planalto
1072,Rio Grande do Sul,Santo Augusto
1073,Rio Grande do Sul,Santo Cristo
1074,Rio Grande do Sul,Santo Expedito do Sul
1075,Rio Grande do Sul,São Borja
1076,Rio Grande do Sul,São Domingos do Sul
1077,Rio Grande do Sul,São Francisco de Assis
1078,Rio Grande do Sul,São Francisco de Paula
1079,Rio Grande do Sul,São Gabriel
1080,Rio Grande do Sul,São Jerônimo
1081,Rio Grande do Sul,São João da Urtiga
1082,Rio Grande do Sul,São João do Polêsine
1083,Rio Grande do Sul,São Jorge
1084,Rio Grande do Sul,São José das Missões
1085,Rio Grande do Sul,São José do Herval
1086,Rio Grande do Sul,São José do Hortêncio
1087,Rio Grande do Sul,São José do Inhacorá
1088,Rio Grande do Sul,São José do Norte
1089,Rio Grande do Sul,São José do Ouro
1090,Rio Grande do Sul,São José do Sul
1091,Rio Grande do Sul,São José dos Ausentes
1092,Rio Grande do Sul,São Leopoldo
1093,Rio Grande do Sul,São Lourenço do Sul
1094,Rio Grande do Sul,São Luiz Gonzaga
1095,Rio Grande do Sul,São Marcos
1096,Rio Grande do Sul,São Martinho
1097,Rio Grande do Sul,São Martinho da Serra
1098,Rio Grande do Sul,São Miguel das Missões
1099,Rio Grande do Sul,São Nicolau
1100,Rio Grande do Sul,São Paulo das Missões
1101,Rio Grande do Sul,São Pedro da Serra
1102,Rio Grande do Sul,São Pedro das Missões
1103,Rio Grande do Sul,São Pedro do Butiá
1104,Rio Grande do Sul,São Pedro do Sul
1105,Rio Grande do Sul,São Sebastião do Caí
1106,Rio Grande do Sul,São Sepé
1107,Rio Grande do Sul,São Valentim
1108,Rio Grande do Sul,São Valentim do Sul
1109,Rio Grande do Sul,São Valério do Sul
1110,Rio Grande do Sul,São Vendelino
1111,Rio Grande do Sul,São Vicente do Sul
1112,Rio Grande do Sul,Sapiranga
1113,Rio Grande do Sul,Sapucaia do Sul
1114,Rio Grande do Sul,Sarandi
1115,Rio Grande do Sul,Seberi
1116,Rio Grande do Sul,Sede Nova
1117,Rio Grande do Sul,Segredo
1118,Rio Grande do Sul,Selbach
1119,Rio Grande do Sul,Senador Salgado Filho
1120,Rio Grande do Sul,Sentinela do Sul
1121,Rio Grande do Sul,Serafina Corrêa
1122,Rio Grande do Sul,Sério
1123,Rio Grande do Sul,Sertão
1124,Rio Grande do Sul,Sertão Santana
1125,Rio Grande do Sul,Sete de Setembro
1126,Rio Grande do Sul,Severiano de Almeida
1127,Rio Grande do Sul,Silveira Martins
1128,Rio Grande do Sul,Sinimbu
1129,Rio Grande do Sul,Sobradinho
1130,Rio Grande do Sul,Soledade
1131,Rio Grande do Sul,Tabaí
1132,Rio Grande do Sul,Tapejara
1133,Rio Grande do Sul,Tapera
1134,Rio Grande do Sul,Tapes
1135,Rio Grande do Sul,Taquara
1136,Rio Grande do Sul,Taquari
1137,Rio Grande do Sul,Taquaruçu do Sul
1138,Rio Grande do Sul,Tavares
1139,Rio Grande do Sul,Tenente Portela
1140,Rio Grande do Sul,Terra de Areia
1141,Rio Grande do Sul,Teutônia
1142,Rio Grande do Sul,Tio Hugo
1143,Rio Grande do Sul,Tiradentes do Sul
1144,Rio Grande do Sul,Toropi
1145,Rio Grande do Sul,Torres
1146,Rio Grande do Sul,Tramandaí
1147,Rio Grande do Sul,Travesseiro
1148,Rio Grande do Sul,Três Arroios
1149,Rio Grande do Sul,Três Cachoeiras
1150,Rio Grande do Sul,Três Coroas
1151,Rio Grande do Sul,Três de Maio
1152,Rio Grande do Sul,Três Forquilhas
1153,Rio Grande do Sul,Três Palmeiras
1154,Rio Grande do Sul,Três Passos
1155,Rio Grande do Sul,Trindade do Sul
1156,Rio Grande do Sul,Triunfo
1157,Rio Grande do Sul,Tucunduva
1158,Rio Grande do Sul,Tunas
1159,Rio Grande do Sul,Tupanci do Sul
1160,Rio Grande do Sul,Tupanciretã
1161,Rio Grande do Sul,Tupandi
1162,Rio Grande do Sul,Tuparendi
1163,Rio Grande do Sul,Turuçu
1164,Rio Grande do Sul,Ubiretama
1165,Rio Grande do Sul,União da Serra
1166,Rio Grande do Sul,Unistalda
1167,Rio Grande do Sul,Uruguaiana
1168,Rio Grande do Sul,Vacaria
1169,Rio Grande do Sul,Vale do Sol
1170,Rio Grande do Sul,Vale Real
1171,Rio Grande do Sul,Vale Verde
1172,Rio Grande do Sul,Vanini
1173,Rio Grande do Sul,Venâncio Aires
1174,Rio Grande do Sul,Vera Cruz
1175,Rio Grande do Sul,Veranópolis
1176,Rio Grande do Sul,Vespasiano Corrêa
1177,Rio Grande do Sul,Viadutos
1178,Rio Grande do Sul,Viamão
1179,Rio Grande do Sul,Vicente Dutra
1180,Rio Grande do Sul,Victor Graeff
1181,Rio Grande do Sul,Vila Flores
1182,Rio Grande do Sul,Vila Lângaro
1183,Rio Grande do Sul,Vila Maria
1184,Rio Grande do Sul,Vila Nova do Sul
1185,Rio Grande do Sul,Vista Alegre do Prata
1186,Rio Grande do Sul,Vista Alegre
1187,Rio Grande do Sul,Vista Gaúcha
1188,Rio Grande do Sul,Vitória das Missões
1189,Rio Grande do Sul,Westfália
1190,Rio Grande do Sul,Xangri-lá
