cidade,estado,latitude,longitude,timestamp,temperatura_max,temperatura_min,prob_chuva_max,prob_chuva_media,prob_chuva_min,quantidade_chuva,sensacao_termica_max,sensacao_termica_min,velocidade_vento_max,direcao_vento,duracao_sol,uv_max
Andirá,Paraná,-23.0494761,-50.2310027,2025-05-12,24.0,16.0,20,7,0,0.3,24.2,15.4,22.7,116,30988.95,5.7
Ângulo,Paraná,-23.1958345,-51.9094976,2025-05-10,24.4,18.5,88,46,0,9.7,27.9,20.8,7.7,240,23299.79,5.25
Ângulo,Paraná,-23.1958345,-51.9094976,2025-05-11,25.1,15.3,3,1,0,0.0,25.8,16.4,14.8,104,35701.88,5.55
Ângulo,Paraná,-23.1958345,-51.9094976,2025-05-12,24.4,15.4,5,3,0,0.0,24.5,15.1,18.0,94,36158.8,5.45
Antonina,Paraná,-25.4298854,-48.7125431,2025-05-10,27.5,20.4,95,39,0,7.3,30.6,23.4,9.6,91,0.0,1.75
Antonina,Paraná,-25.4298854,-48.7125431,2025-05-11,21.5,17.2,40,6,0,0.3,24.4,19.2,4.8,177,12484.06,2.2
Antonina,Paraná,-25.4298854,-48.7125431,2025-05-12,20.4,17.8,43,26,8,0.9,23.2,19.8,3.1,183,1307.96,5.2
Antônio Olinto,Paraná,-25.9849006,-50.1974516,2025-05-10,21.3,11.5,100,18,0,18.1,21.2,10.9,9.7,177,34814.92,5.6
Antônio Olinto,Paraná,-25.9849006,-50.1974516,2025-05-11,20.3,7.8,5,1,0,0.0,19.7,6.3,13.7,119,35403.22,5.6
Antônio Olinto,Paraná,-25.9849006,-50.1974516,2025-05-12,18.1,9.8,3,0,0,0.0,17.7,8.6,13.7,102,7558.68,5.5
Apucarana,Paraná,-23.5525327,-51.4610764,2025-05-10,21.1,16.0,93,56,0,20.6,23.4,16.8,9.2,271,19395.04,5.55
Apucarana,Paraná,-23.5525327,-51.4610764,2025-05-11,21.6,14.7,3,0,0,0.0,21.7,13.2,15.0,92,36059.6,5.75
Apucarana,Paraná,-23.5525327,-51.4610764,2025-05-12,19.8,13.1,5,1,0,0.0,18.6,11.9,21.2,82,35146.53,5.65
Arapongas,Paraná,-23.4152862,-51.4293961,2025-05-10,21.2,16.4,93,56,0,17.7,23.3,17.0,9.4,259,18864.43,5.65
Arapongas,Paraná,-23.4152862,-51.4293961,2025-05-11,21.5,14.6,3,0,0,0.0,21.7,12.9,16.2,99,36361.41,5.55
Arapongas,Paraná,-23.4152862,-51.4293961,2025-05-12,19.6,13.3,5,1,0,0.0,19.1,11.5,21.6,92,33865.9,5.75
Arapoti,Paraná,-24.1457957,-49.8224605,2025-05-10,21.5,17.3,100,69,8,19.1,24.6,18.1,8.4,149,781.69,0.6
Arapoti,Paraná,-24.1457957,-49.8224605,2025-05-11,20.7,13.4,5,0,0,0.0,20.5,12.7,13.7,115,35582.5,5.9
Arapoti,Paraná,-24.1457957,-49.8224605,2025-05-12,19.8,12.6,8,3,0,0.0,19.3,11.9,17.1,103,18577.57,5.85
Arapuã,Paraná,-24.3079525,-51.7901941,2025-05-10,22.2,17.4,95,31,3,15.6,24.0,16.8,12.5,127,33571.65,5.25
Arapuã,Paraná,-24.3079525,-51.7901941,2025-05-11,22.0,14.2,0,0,0,0.0,21.6,11.7,20.3,117,36563.6,5.65
Arapuã,Paraná,-24.3079525,-51.7901941,2025-05-12,21.1,12.6,0,0,0,0.0,20.2,10.4,23.0,102,32350.48,5.6
Araruna,Paraná,-23.9320308,-52.4976047,2025-05-10,24.7,18.6,95,32,0,1.6,27.5,19.7,12.7,210,29546.93,5.5
Araruna,Paraná,-23.9320308,-52.4976047,2025-05-11,23.7,15.9,5,0,0,0.0,24.9,15.3,15.8,107,36852.81,5.75
Araruna,Paraná,-23.9320308,-52.4976047,2025-05-12,23.0,14.5,3,0,0,0.0,22.8,13.4,18.4,86,34788.97,5.65
Araucária,Paraná,-25.5861107,-49.4051209,2025-05-10,21.1,15.7,98,35,0,9.7,21.4,16.1,10.1,170,24531.29,5.65
Araucária,Paraná,-25.5861107,-49.4051209,2025-05-11,19.2,10.4,3,0,0,0.0,18.0,9.9,15.5,93,35426.73,5.65
Araucária,Paraná,-25.5861107,-49.4051209,2025-05-12,16.6,12.0,2,0,0,0.0,15.8,11.4,14.9,93,624.92,5.4
Ariranha do Ivaí,Paraná,-24.3834527,-51.5876772,2025-05-10,21.9,17.7,98,36,0,13.6,23.7,17.0,13.8,135,33114.74,5.35
Ariranha do Ivaí,Paraná,-24.3834527,-51.5876772,2025-05-11,22.2,14.3,3,0,0,0.3,21.6,12.2,19.2,124,36468.22,5.65
Ariranha do Ivaí,Paraná,-24.3834527,-51.5876772,2025-05-12,21.0,12.6,5,1,0,0.0,20.3,10.9,20.9,106,32181.1,5.55
Assaí,Paraná,-23.3736041,-50.8454929,2025-05-10,23.9,18.2,90,53,5,11.4,27.8,20.4,7.9,235,6574.62,4.0
Assaí,Paraná,-23.3736041,-50.8454929,2025-05-11,23.3,15.5,8,2,0,0.0,23.1,15.2,19.1,109,34759.75,5.45
Assaí,Paraná,-23.3736041,-50.8454929,2025-05-12,22.6,15.8,12,5,0,0.0,23.1,14.3,21.3,109,31848.88,5.7
Assis Chateaubriand,Paraná,-24.4054826,-53.5120468,2025-05-10,25.1,16.9,90,9,0,1.5,26.4,17.2,12.3,200,35775.26,5.7
Assis Chateaubriand,Paraná,-24.4054826,-53.5120468,2025-05-11,24.0,14.6,0,0,0,0.0,25.3,13.9,12.6,132,36773.41,5.65
Assis Chateaubriand,Paraná,-24.4054826,-53.5120468,2025-05-12,24.9,14.7,5,0,0,0.0,26.2,15.2,13.1,91,35288.45,5.6
Astorga,Paraná,-23.2350184,-51.6647074,2025-05-10,22.9,18.1,93,57,0,15.3,25.5,19.6,9.5,270,17328.13,5.6
Astorga,Paraná,-23.2350184,-51.6647074,2025-05-11,23.4,16.2,3,1,0,0.0,23.8,14.6,18.8,102,36244.15,5.4
Astorga,Paraná,-23.2350184,-51.6647074,2025-05-12,22.1,14.9,8,3,0,0.0,21.5,12.5,25.2,93,36330.71,5.55
Atalaia,Paraná,-23.1513833,-52.0529697,2025-05-10,23.9,19.0,88,46,0,10.6,27.2,21.5,9.6,263,18752.2,4.6
Atalaia,Paraná,-23.1513833,-52.0529697,2025-05-11,24.3,16.9,3,1,0,0.0,24.7,16.0,18.0,103,35958.56,5.75
Atalaia,Paraná,-23.1513833,-52.0529697,2025-05-12,23.9,15.8,5,3,0,0.0,23.6,13.7,22.7,93,35555.14,5.35
Balsa Nova,Paraná,-25.5842234,-49.6312741,2025-05-10,21.1,15.0,98,32,0,8.7,21.6,16.1,10.1,179,28039.71,5.65
Balsa Nova,Paraná,-25.5842234,-49.6312741,2025-05-11,19.8,12.0,5,1,0,0.3,19.0,11.0,15.8,92,35146.06,5.65
Balsa Nova,Paraná,-25.5842234,-49.6312741,2025-05-12,17.1,12.0,3,0,0,0.0,16.3,10.9,16.1,87,919.21,5.25
Bandeirantes,Paraná,-23.107788,-50.370407,2025-05-10,26.2,20.3,93,51,15,8.2,30.5,23.8,9.7,255,8481.22,3.15
Bandeirantes,Paraná,-23.107788,-50.370407,2025-05-11,24.0,17.2,28,8,0,0.0,24.0,16.7,20.4,123,32720.09,5.7
Bandeirantes,Paraná,-23.107788,-50.370407,2025-05-12,24.6,16.4,20,7,0,0.0,24.9,15.7,23.3,118,26083.05,5.7
Barbosa Ferraz,Paraná,-24.0287182,-52.00811,2025-05-10,25.0,20.5,98,44,3,19.2,29.3,23.4,11.7,132,28986.88,5.35
Barbosa Ferraz,Paraná,-24.0287182,-52.00811,2025-05-11,25.1,16.2,3,0,0,0.1,26.1,16.4,15.8,137,36204.71,5.65
Barbosa Ferraz,Paraná,-24.0287182,-52.00811,2025-05-12,24.4,15.0,3,0,0,0.0,26.1,14.7,16.5,118,30460.87,5.6
Barra do Jacaré,Paraná,-23.1151788,-50.1813945,2025-05-10,26.8,20.9,93,51,15,11.4,31.8,24.2,9.3,242,5483.69,3.65
Barra do Jacaré,Paraná,-23.1151788,-50.1813945,2025-05-11,23.2,17.5,28,8,0,0.0,23.7,16.7,20.0,122,23053.16,5.55
Barra do Jacaré,Paraná,-23.1151788,-50.1813945,2025-05-12,24.3,16.9,20,7,0,0.3,24.3,16.2,22.1,116,30804.32,5.7
Barracão,Paraná,-26.2524094,-53.6349764,2025-05-10,19.5,13.5,0,0,0,0.0,18.1,11.9,16.1,161,35567.3,5.6
Barracão,Paraná,-26.2524094,-53.6349764,2025-05-11,19.3,9.9,0,0,0,0.0,18.2,8.2,12.7,140,36339.01,5.55
Barracão,Paraná,-26.2524094,-53.6349764,2025-05-12,20.7,10.7,0,0,0,0.0,20.8,9.6,12.3,53,35839.42,5.55
Bela Vista da Caroba,Paraná,-25.8792818,-53.6672545,2025-05-10,22.6,13.9,0,0,0,0.0,22.1,13.7,13.2,165,36281.09,5.65
Bela Vista da Caroba,Paraná,-25.8792818,-53.6672545,2025-05-11,22.2,9.9,0,0,0,0.0,21.5,8.6,11.0,144,36449.41,5.55
Bela Vista da Caroba,Paraná,-25.8792818,-53.6672545,2025-05-12,23.0,11.7,0,0,0,0.0,24.0,11.0,14.5,96,35449.91,5.55
Bela Vista do Paraíso,Paraná,-22.9948493,-51.1907996,2025-05-10,23.5,18.4,98,56,0,8.5,26.6,19.9,11.2,267,14074.45,4.25
Bela Vista do Paraíso,Paraná,-22.9948493,-51.1907996,2025-05-11,23.3,16.0,3,1,0,0.0,23.1,14.6,19.2,111,35241.7,5.55
Bela Vista do Paraíso,Paraná,-22.9948493,-51.1907996,2025-05-12,22.4,15.0,4,1,0,0.1,22.3,13.6,22.3,112,31753.66,5.75
Bituruna,Paraná,-26.161281,-51.5533319,2025-05-10,21.4,9.3,93,10,0,0.5,21.8,8.3,8.1,152,35304.7,5.65
Bituruna,Paraná,-26.161281,-51.5533319,2025-05-11,19.9,3.8,0,0,0,0.0,17.9,1.9,12.8,118,36394.36,5.6
Bituruna,Paraná,-26.161281,-51.5533319,2025-05-12,20.0,12.0,0,0,0,0.0,19.1,10.8,16.1,100,26611.7,5.55
Boa Esperança,Paraná,-24.2411024,-52.7860277,2025-05-10,25.3,18.7,100,21,0,3.3,26.7,19.0,16.3,200,32175.63,5.7
Boa Esperança,Paraná,-24.2411024,-52.7860277,2025-05-11,24.5,15.1,0,0,0,0.0,25.9,14.9,15.3,116,36021.28,5.7
Boa Esperança,Paraná,-24.2411024,-52.7860277,2025-05-12,24.1,14.9,2,0,0,0.0,24.1,13.7,18.9,81,34732.24,5.65
Boa Esperança do Iguaçu,Paraná,-25.6362851,-53.2139114,2025-05-10,23.8,15.6,8,1,0,0.0,23.8,15.1,15.3,151,36574.18,5.65
Boa Esperança do Iguaçu,Paraná,-25.6362851,-53.2139114,2025-05-11,22.7,12.6,0,0,0,0.0,22.1,11.2,12.7,130,36504.14,5.6
Boa Esperança do Iguaçu,Paraná,-25.6362851,-53.2139114,2025-05-12,24.0,14.8,2,0,0,0.0,25.1,14.1,17.3,100,35728.71,5.6
Boa Ventura de São Roque,Paraná,-24.88177,-51.5441292,2025-05-10,22.0,13.3,98,28,0,8.4,23.1,12.7,11.3,112,32577.82,5.1
Boa Ventura de São Roque,Paraná,-24.88177,-51.5441292,2025-05-11,20.5,9.6,0,0,0,0.0,19.9,7.8,16.2,120,36666.57,5.65
Boa Ventura de São Roque,Paraná,-24.88177,-51.5441292,2025-05-12,19.5,11.5,3,1,0,0.0,19.0,9.8,16.7,95,29568.2,5.55
Boa Vista da Aparecida,Paraná,-25.4357216,-53.4067721,2025-05-10,23.4,15.2,5,0,0,0.0,23.7,15.1,13.5,156,34945.63,5.65
Boa Vista da Aparecida,Paraná,-25.4357216,-53.4067721,2025-05-11,22.3,10.7,0,0,0,0.0,22.1,9.7,11.1,111,36558.58,5.6
Boa Vista da Aparecida,Paraná,-25.4357216,-53.4067721,2025-05-12,24.7,12.1,3,0,0,0.0,26.4,11.4,9.4,83,35477.06,5.6
Bocaiúva do Sul,Paraná,-25.206591,-49.114131,2025-05-10,20.8,13.8,98,44,3,9.3,21.8,13.6,8.9,130,1506.64,2.6
Bocaiúva do Sul,Paraná,-25.206591,-49.114131,2025-05-11,16.1,12.1,0,0,0,0.0,15.2,11.8,10.9,113,18873.68,5.65
