cidade,estado,latitude,longitude,timestamp,temperatura_max,temperatura_min,prob_chuva_max,prob_chuva_media,prob_chuva_min,quantidade_chuva,sensacao_termica_max,sensacao_termica_min,velocidade_vento_max,direcao_vento,duracao_sol,uv_max
Santa Isabel do Ivaí,Paraná,-23.0013818,-53.1940876,2025-05-11,25.1,15.3,0,0,0,0.0,26.2,16.2,11.3,129,37061.55,5.85
Santa Isabel do Ivaí,Paraná,-23.0013818,-53.1940876,2025-05-12,24.3,15.4,3,0,0,0.0,25.6,15.2,14.9,91,35211.19,5.8
Santa Izabel do Oeste,Paraná,-25.821652,-53.480146,2025-05-10,23.0,14.5,3,0,0,0.0,22.9,14.4,13.2,165,35621.57,5.65
Santa Izabel do Oeste,Paraná,-25.821652,-53.480146,2025-05-11,22.3,10.6,0,0,0,0.0,21.8,9.3,11.6,132,36449.41,5.6
Santa Izabel do Oeste,Paraná,-25.821652,-53.480146,2025-05-12,23.3,12.5,0,0,0,0.0,24.1,11.8,16.7,92,35296.77,5.55
Santa Lúcia,Paraná,-25.4079427,-53.5677252,2025-05-10,23.4,15.1,5,0,0,0.0,23.9,15.3,13.1,166,35190.25,5.7
Santa Lúcia,Paraná,-25.4079427,-53.5677252,2025-05-11,22.0,12.1,0,0,0,0.0,22.1,11.1,9.7,124,36558.59,5.6
Santa Lúcia,Paraná,-25.4079427,-53.5677252,2025-05-12,24.2,12.6,3,0,0,0.2,25.9,12.5,8.3,89,36323.1,5.6
Santa Maria do Oeste,Paraná,-24.9392355,-51.8712242,2025-05-10,22.7,13.4,98,24,0,5.2,24.0,13.0,10.5,174,32919.33,5.7
Santa Maria do Oeste,Paraná,-24.9392355,-51.8712242,2025-05-11,21.2,9.2,0,0,0,0.0,21.4,7.4,13.8,95,36345.89,5.65
Santa Maria do Oeste,Paraná,-24.9392355,-51.8712242,2025-05-12,21.3,11.2,3,1,0,0.2,20.7,9.3,17.4,73,34861.2,5.6
Santa Mariana,Paraná,-23.1499367,-50.5199587,2025-05-10,25.9,20.1,93,53,8,8.2,30.0,23.4,9.7,255,8477.54,3.75
Santa Mariana,Paraná,-23.1499367,-50.5199587,2025-05-11,23.8,16.9,8,4,0,0.0,23.6,16.3,20.4,123,32726.82,5.75
Santa Mariana,Paraná,-23.1499367,-50.5199587,2025-05-12,24.3,16.1,17,7,0,0.0,24.6,15.3,23.3,118,26075.05,5.7
Santa Mônica,Paraná,-23.1085921,-53.1103971,2025-05-10,24.9,19.4,90,27,0,8.7,26.9,21.3,13.9,244,32986.07,4.45
Santa Mônica,Paraná,-23.1085921,-53.1103971,2025-05-11,25.5,16.1,0,0,0,0.0,26.6,17.2,12.1,120,37035.69,5.8
Santa Mônica,Paraná,-23.1085921,-53.1103971,2025-05-12,24.6,15.6,3,1,0,0.0,25.9,15.6,13.7,90,34761.44,5.75
Santa Tereza do Oeste,Paraná,-25.0511956,-53.6161834,2025-05-10,21.3,14.5,35,2,0,0.1,20.9,13.3,17.7,166,35870.05,5.75
Santa Tereza do Oeste,Paraná,-25.0511956,-53.6161834,2025-05-11,21.6,11.2,0,0,0,0.0,22.2,9.5,12.7,137,36639.69,5.7
Santa Tereza do Oeste,Paraná,-25.0511956,-53.6161834,2025-05-12,22.1,13.3,3,0,0,0.0,22.7,12.3,16.4,67,35848.93,5.65
Santa Terezinha de Itaipu,Paraná,-25.4390809,-54.4019902,2025-05-10,23.5,15.0,0,0,0,0.0,24.0,15.3,10.2,180,35365.64,5.65
Santa Terezinha de Itaipu,Paraná,-25.4390809,-54.4019902,2025-05-11,23.0,12.0,0,0,0,0.0,22.8,10.9,11.1,138,36531.4,5.6
Santa Terezinha de Itaipu,Paraná,-25.4390809,-54.4019902,2025-05-12,23.4,14.8,0,0,0,0.0,25.0,14.0,10.1,94,34630.18,5.55
Santana do Itararé,Paraná,-23.7566225,-49.6292826,2025-05-10,24.5,19.5,98,65,10,22.4,28.6,20.7,13.8,80,3768.49,5.45
Santana do Itararé,Paraná,-23.7566225,-49.6292826,2025-05-11,21.6,16.0,10,1,0,0.0,20.8,15.7,18.9,116,33659.34,5.85
Santana do Itararé,Paraná,-23.7566225,-49.6292826,2025-05-12,21.7,15.3,7,3,0,0.5,21.8,15.1,20.0,121,11644.05,5.75
Santo Antônio da Platina,Paraná,-23.2957157,-50.0778957,2025-05-10,25.7,20.1,95,54,10,18.7,30.2,23.0,9.0,289,4718.56,2.4
Santo Antônio da Platina,Paraná,-23.2957157,-50.0778957,2025-05-11,23.0,16.7,20,5,0,0.0,22.7,15.7,19.2,121,32187.85,5.7
Santo Antônio da Platina,Paraná,-23.2957157,-50.0778957,2025-05-12,23.8,16.2,19,6,0,0.5,24.1,15.0,22.2,119,27536.31,5.65
Santo Antônio do Caiuá,Paraná,-22.7365132,-52.3446998,2025-05-10,25.3,19.6,90,46,0,6.4,28.8,22.3,8.4,268,24423.25,2.6
Santo Antônio do Caiuá,Paraná,-22.7365132,-52.3446998,2025-05-11,24.7,17.7,8,1,0,0.0,25.5,18.7,14.9,114,35236.46,5.9
Santo Antônio do Caiuá,Paraná,-22.7365132,-52.3446998,2025-05-12,24.1,16.1,8,3,0,0.0,26.1,15.6,15.9,103,31791.15,5.75
Santo Antônio do Paraíso,Paraná,-23.4949247,-50.6468656,2025-05-10,22.2,18.5,95,63,3,15.6,24.9,19.4,9.7,253,5388.42,3.65
Santo Antônio do Paraíso,Paraná,-23.4949247,-50.6468656,2025-05-11,21.8,15.4,3,0,0,0.0,21.1,13.3,19.7,111,35649.22,5.7
Santo Antônio do Paraíso,Paraná,-23.4949247,-50.6468656,2025-05-12,20.6,14.7,9,3,0,0.3,20.6,12.1,24.5,114,28357.03,5.7
Santo Antônio do Sudoeste,Paraná,-26.0727118,-53.725556,2025-05-10,21.9,14.6,0,0,0,0.0,21.6,13.6,12.8,154,35773.19,5.6
Santo Antônio do Sudoeste,Paraná,-26.0727118,-53.725556,2025-05-11,21.8,11.3,0,0,0,0.0,21.5,10.0,11.0,129,36394.36,5.55
Santo Antônio do Sudoeste,Paraná,-26.0727118,-53.725556,2025-05-12,22.7,13.4,0,0,0,0.0,23.6,12.6,13.0,83,35932.11,5.55
Santo Inácio,Paraná,-22.6973239,-51.792679,2025-05-10,25.1,19.9,83,47,3,7.4,28.7,22.8,9.0,263,11483.22,5.35
Santo Inácio,Paraná,-22.6973239,-51.792679,2025-05-11,24.6,17.6,5,2,0,0.0,24.9,16.4,19.8,111,35779.01,5.6
Santo Inácio,Paraná,-22.6973239,-51.792679,2025-05-12,25.4,16.8,6,2,0,0.0,25.3,15.4,21.9,104,35110.54,5.85
São Carlos do Ivaí,Paraná,-23.315828,-52.476143,2025-05-10,26.7,20.7,93,35,0,6.0,28.9,24.1,12.6,248,29156.81,4.4
São Carlos do Ivaí,Paraná,-23.315828,-52.476143,2025-05-11,25.8,17.2,0,0,0,0.0,26.5,17.9,12.2,119,36421.15,5.75
São Carlos do Ivaí,Paraná,-23.315828,-52.476143,2025-05-12,24.7,15.3,3,1,0,0.0,25.4,15.5,14.4,100,34525.95,5.7
São Jerônimo da Serra,Paraná,-23.7221275,-50.7389164,2025-05-10,21.0,17.5,90,51,0,20.8,23.1,18.0,11.0,266,3463.88,2.5
São Jerônimo da Serra,Paraná,-23.7221275,-50.7389164,2025-05-11,20.0,14.2,5,1,0,0.0,19.4,12.5,16.5,105,35517.53,5.8
São Jerônimo da Serra,Paraná,-23.7221275,-50.7389164,2025-05-12,18.2,13.4,8,2,0,0.1,18.0,11.5,21.3,101,25635.82,5.7
São João,Paraná,-25.8273206,-52.7256633,2025-05-10,22.8,14.6,8,1,0,0.0,21.9,13.1,16.3,159,36520.23,5.65
São João,Paraná,-25.8273206,-52.7256633,2025-05-11,22.0,8.9,0,0,0,0.0,21.4,7.1,9.6,120,36449.41,5.6
São João,Paraná,-25.8273206,-52.7256633,2025-05-12,23.2,12.3,0,0,0,0.0,23.8,11.0,18.2,75,34841.09,5.6
São João do Caiuá,Paraná,-22.8544849,-52.3371114,2025-05-10,24.6,19.2,90,46,0,7.7,27.8,21.7,8.1,264,24252.66,4.3
São João do Caiuá,Paraná,-22.8544849,-52.3371114,2025-05-11,24.3,17.5,8,1,0,0.0,25.0,18.2,15.3,113,35353.97,5.9
São João do Caiuá,Paraná,-22.8544849,-52.3371114,2025-05-12,23.8,15.5,8,3,0,0.0,25.4,14.7,15.9,99,33148.03,5.8
São João do Ivaí,Paraná,-23.9914063,-51.8232148,2025-05-10,24.4,19.4,100,42,3,17.9,28.1,21.2,13.7,117,29983.03,4.65
São João do Ivaí,Paraná,-23.9914063,-51.8232148,2025-05-11,24.6,15.3,3,0,0,0.0,25.2,15.3,17.6,123,35870.68,5.65
São João do Ivaí,Paraná,-23.9914063,-51.8232148,2025-05-12,23.9,15.0,3,1,0,0.0,24.7,13.9,19.6,107,30736.56,5.6
São João do Triunfo,Paraná,-25.682971,-50.29492,2025-05-10,21.4,13.5,100,21,0,8.1,22.4,13.2,8.9,182,31403.2,5.65
São João do Triunfo,Paraná,-25.682971,-50.29492,2025-05-11,21.6,10.5,5,1,0,0.0,21.7,10.1,14.0,106,35271.33,5.6
São João do Triunfo,Paraná,-25.682971,-50.29492,2025-05-12,18.9,11.8,0,0,0,0.0,18.9,11.1,13.1,96,4783.29,5.55
São Jorge do Ivaí,Paraná,-23.4327325,-52.2924553,2025-05-10,24.4,19.6,93,46,3,8.9,27.9,22.1,10.0,240,25788.77,4.35
São Jorge do Ivaí,Paraná,-23.4327325,-52.2924553,2025-05-11,24.6,16.8,3,0,0,0.0,25.4,17.2,16.3,107,36470.64,5.75
São Jorge do Ivaí,Paraná,-23.4327325,-52.2924553,2025-05-12,23.6,15.0,3,1,0,0.0,23.7,14.8,16.2,91,31002.63,5.7
São Jorge do Patrocínio,Paraná,-23.7612908,-53.8806252,2025-05-10,23.4,17.7,90,12,0,2.0,25.9,18.5,11.8,214,26828.06,5.8
São Jorge do Patrocínio,Paraná,-23.7612908,-53.8806252,2025-05-11,24.5,15.3,0,0,0,0.0,26.1,15.3,9.5,142,36259.86,5.75
São Jorge do Patrocínio,Paraná,-23.7612908,-53.8806252,2025-05-12,24.1,16.3,3,0,0,0.0,25.5,16.9,12.3,80,35994.55,5.7
São Jorge d'Oeste,Paraná,-25.7086966,-52.9189882,2025-05-10,24.0,15.0,23,1,0,0.0,23.7,14.1,13.7,165,36547.24,5.65
São Jorge d'Oeste,Paraná,-25.7086966,-52.9189882,2025-05-11,22.9,8.9,0,0,0,0.0,22.4,7.6,10.0,139,36476.82,5.6
São Jorge d'Oeste,Paraná,-25.7086966,-52.9189882,2025-05-12,24.3,12.5,3,0,0,0.1,25.4,11.8,17.1,90,34818.8,5.55
São José da Boa Vista,Paraná,-23.9173145,-49.650601,2025-05-10,24.2,19.3,100,62,0,22.5,27.9,20.7,13.5,52,3517.57,1.35
São José da Boa Vista,Paraná,-23.9173145,-49.650601,2025-05-11,21.3,15.7,8,2,0,0.0,20.4,15.2,18.9,112,33462.68,5.85
São José da Boa Vista,Paraná,-23.9173145,-49.650601,2025-05-12,21.1,15.4,13,5,0,0.4,21.0,14.7,20.6,116,9430.34,5.65
São José das Palmeiras,Paraná,-24.8350864,-54.0621488,2025-05-10,22.4,15.0,43,2,0,0.0,22.8,14.7,17.4,166,35937.15,5.65
São José das Palmeiras,Paraná,-24.8350864,-54.0621488,2025-05-11,23.0,12.8,0,0,0,0.0,24.3,11.3,12.1,134,36666.58,5.6
São José das Palmeiras,Paraná,-24.8350864,-54.0621488,2025-05-12,23.3,12.6,0,0,0,0.0,24.8,12.1,15.3,74,34617.22,5.55
São José dos Pinhais,Paraná,-25.533816,-49.2072163,2025-05-10,20.9,15.6,95,34,0,5.9,21.6,14.9,13.1,144,19066.53,4.9
São José dos Pinhais,Paraná,-25.533816,-49.2072163,2025-05-11,18.0,11.8,0,0,0,0.0,16.9,11.5,16.8,94,35470.31,5.7
São José dos Pinhais,Paraná,-25.533816,-49.2072163,2025-05-12,16.3,12.6,3,1,0,0.0,15.4,11.6,14.6,94,112.96,5.65
São Manoel do Paraná,Paraná,-23.394137,-52.645376,2025-05-10,26.6,20.6,88,29,0,6.0,28.8,23.9,14.0,250,29327.19,4.7
São Manoel do Paraná,Paraná,-23.394137,-52.645376,2025-05-11,25.8,17.4,0,0,0,0.0,26.5,17.5,13.0,129,36523.96,5.75
São Manoel do Paraná,Paraná,-23.394137,-52.645376,2025-05-12,24.8,15.5,3,1,0,0.0,25.2,15.6,14.1,109,33766.27,5.7
São Mateus do Sul,Paraná,-25.866823,-50.382796,2025-05-10,21.6,11.7,100,23,0,15.5,21.6,11.3,8.8,177,33167.3,5.6
São Mateus do Sul,Paraná,-25.866823,-50.382796,2025-05-11,20.9,7.8,8,1,0,0.2,20.0,6.4,14.0,126,35384.25,5.6
São Mateus do Sul,Paraná,-25.866823,-50.382796,2025-05-12,18.4,10.6,3,0,0,0.0,18.3,10.0,13.8,103,5150.12,5.55
São Miguel do Iguaçu,Paraná,-25.349171,-54.240498,2025-05-10,23.6,15.3,3,0,0,0.0,24.0,15.7,12.9,174,35469.77,5.65
São Miguel do Iguaçu,Paraná,-25.349171,-54.240498,2025-05-11,22.6,12.4,0,0,0,0.0,22.5,11.5,13.0,136,36558.59,5.6
São Miguel do Iguaçu,Paraná,-25.349171,-54.240498,2025-05-12,24.0,14.2,0,0,0,0.0,26.0,13.9,8.8,108,35028.05,5.6
São Pedro do Iguaçu,Paraná,-24.9341766,-53.8579529,2025-05-10,22.3,14.9,15,1,0,0.0,22.6,14.6,17.4,166,35937.15,5.65
São Pedro do Iguaçu,Paraná,-24.9341766,-53.8579529,2025-05-11,22.9,12.7,0,0,0,0.0,24.1,11.1,12.1,134,36666.58,5.6
São Pedro do Iguaçu,Paraná,-24.9341766,-53.8579529,2025-05-12,23.2,12.5,0,0,0,0.0,24.6,11.9,15.3,74,34617.22,5.55
São Pedro do Ivaí,Paraná,-23.8660384,-51.8563711,2025-05-10,24.6,19.5,100,42,3,22.3,28.5,22.0,11.5,120,26146.25,5.0
São Pedro do Ivaí,Paraná,-23.8660384,-51.8563711,2025-05-11,25.5,15.3,3,0,0,0.0,26.2,15.7,14.4,124,36123.85,5.65
São Pedro do Ivaí,Paraná,-23.8660384,-51.8563711,2025-05-12,24.6,14.4,3,1,0,0.0,25.2,14.2,13.8,112,29472.23,5.6
São Pedro do Paraná,Paraná,-22.8240967,-53.222755,2025-05-10,24.7,19.6,95,25,0,13.5,27.7,21.1,13.6,233,29498.94,5.1
São Pedro do Paraná,Paraná,-22.8240967,-53.222755,2025-05-11,25.6,17.0,0,0,0,0.0,27.1,18.2,12.3,125,36719.71,5.85
São Pedro do Paraná,Paraná,-22.8240967,-53.222755,2025-05-12,24.9,16.6,3,1,0,0.0,26.5,16.4,15.2,92,33594.31,5.8
São Sebastião da Amoreira,Paraná,-23.4647501,-50.7605173,2025-05-10,21.7,18.3,95,63,3,17.1,24.6,19.4,9.0,245,7474.74,4.25
São Sebastião da Amoreira,Paraná,-23.4647501,-50.7605173,2025-05-11,21.9,15.4,3,0,0,0.0,21.4,13.2,21.1,107,35727.59,5.75
São Sebastião da Amoreira,Paraná,-23.4647501,-50.7605173,2025-05-12,20.5,14.8,9,3,0,0.1,20.3,12.1,26.2,109,27993.67,5.7
São Tomé,Paraná,-23.534946,-52.590125,2025-05-10,25.0,19.4,85,31,0,2.4,28.1,21.3,12.4,215,29670.64,4.4
São Tomé,Paraná,-23.534946,-52.590125,2025-05-11,23.6,16.3,0,0,0,0.0,24.1,15.7,18.3,121,36931.58,5.75
São Tomé,Paraná,-23.534946,-52.590125,2025-05-12,22.6,14.7,3,1,0,0.0,22.8,13.8,18.3,98,34828.8,5.7
Sapopema,Paraná,-23.9105099,-50.5791315,2025-05-10,21.7,17.9,98,60,0,14.3,24.3,18.7,8.4,125,4571.64,1.65
Sapopema,Paraná,-23.9105099,-50.5791315,2025-05-11,22.1,15.9,13,3,0,0.0,22.1,14.4,15.7,109,36034.46,5.7
Sapopema,Paraná,-23.9105099,-50.5791315,2025-05-12,20.1,15.0,8,2,0,0.0,20.1,13.5,19.7,102,30573.18,5.6
Sarandi,Paraná,-23.444117,-51.876016,2025-05-10,23.8,17.9,95,52,0,18.2,27.5,19.8,8.7,147,22644.32,5.35
Sarandi,Paraná,-23.444117,-51.876016,2025-05-11,24.9,15.2,3,1,0,0.0,25.9,16.2,13.7,98,36528.42,5.75
Sarandi,Paraná,-23.444117,-51.876016,2025-05-12,23.7,14.0,8,3,0,0.0,23.7,14.4,15.4,88,34867.22,5.4
Saudade do Iguaçu,Paraná,-25.6915533,-52.6184857,2025-05-10,23.4,13.9,43,3,0,0.2,23.2,13.0,13.4,171,36547.24,5.65
Saudade do Iguaçu,Paraná,-25.6915533,-52.6184857,2025-05-11,22.2,8.1,0,0,0,0.0,21.2,6.5,10.7,131,36476.82,5.6
Saudade do Iguaçu,Paraná,-25.6915533,-52.6184857,2025-05-12,23.2,13.8,3,0,0,0.3,23.9,11.9,19.3,86,34186.9,5.6
Sengés,Paraná,-24.1141771,-49.4644197,2025-05-10,24.1,18.9,100,62,0,29.9,28.1,21.1,12.0,105,3554.72,0.8
Sengés,Paraná,-24.1141771,-49.4644197,2025-05-11,21.4,15.1,8,2,0,0.0,20.6,15.0,17.2,116,33653.99,5.85
Sengés,Paraná,-24.1141771,-49.4644197,2025-05-12,21.1,14.6,13,5,0,0.5,21.2,14.6,18.3,116,4608.67,5.75
Serranópolis do Iguaçu,Paraná,-25.3798835,-54.0538801,2025-05-10,23.7,15.7,0,0,0,0.0,24.1,16.1,11.9,171,35035.15,5.65
Serranópolis do Iguaçu,Paraná,-25.3798835,-54.0538801,2025-05-11,22.5,12.8,0,0,0,0.0,22.4,12.1,11.4,117,36558.59,5.6
Serranópolis do Iguaçu,Paraná,-25.3798835,-54.0538801,2025-05-12,23.7,13.6,0,0,0,0.0,25.4,13.1,10.1,99,36256.61,5.6
Sertaneja,Paraná,-23.0367627,-50.816802,2025-05-10,25.0,19.8,88,52,5,10.0,28.3,22.9,9.2,265,8148.56,3.85
Sertaneja,Paraná,-23.0367627,-50.816802,2025-05-11,23.7,16.6,10,5,0,0.0,24.0,15.6,17.6,117,31676.92,5.75
Sertaneja,Paraná,-23.0367627,-50.816802,2025-05-12,24.0,15.9,18,6,0,1.0,24.5,15.0,21.4,114,23214.31,5.75
Sertanópolis,Paraná,-23.0600434,-51.0373544,2025-05-10,25.2,20.2,88,48,3,7.4,28.9,23.2,9.3,268,8327.55,4.2
Sertanópolis,Paraná,-23.0600434,-51.0373544,2025-05-11,24.1,17.1,8,3,0,0.0,24.5,16.3,16.6,116,34140.87,5.6
Sertanópolis,Paraná,-23.0600434,-51.0373544,2025-05-12,24.3,16.2,10,5,0,0.2,24.9,15.9,20.6,115,24053.33,5.75
Siqueira Campos,Paraná,-23.687481,-49.830416,2025-05-10,23.8,19.0,98,65,10,25.2,27.4,19.0,18.6,327,1481.65,3.9
Siqueira Campos,Paraná,-23.687481,-49.830416,2025-05-11,20.7,15.2,10,1,0,0.0,19.5,13.2,23.1,107,35524.99,5.9
Siqueira Campos,Paraná,-23.687481,-49.830416,2025-05-12,21.3,14.8,7,3,0,0.2,21.0,12.8,24.7,106,24292.57,5.85
Sulina,Paraná,-25.7001327,-52.7207833,2025-05-10,24.4,15.6,23,1,0,0.4,24.6,14.9,11.9,168,36574.18,5.65
Sulina,Paraná,-25.7001327,-52.7207833,2025-05-11,23.3,9.8,0,0,0,0.0,22.8,8.7,10.8,124,36504.14,5.6
Sulina,Paraná,-25.7001327,-52.7207833,2025-05-12,25.0,14.9,3,0,0,0.2,26.3,13.8,15.9,91,34984.7,5.55
Tamarana,Paraná,-23.7223793,-51.0936013,2025-05-10,22.2,17.6,93,56,0,19.0,25.8,17.6,11.9,193,13113.14,5.2
Tamarana,Paraná,-23.7223793,-51.0936013,2025-05-11,22.0,15.0,3,0,0,0.0,22.5,14.5,13.9,119,36064.04,5.75
Tamarana,Paraná,-23.7223793,-51.0936013,2025-05-12,20.5,13.4,5,1,0,0.4,19.9,12.4,17.4,112,32196.57,5.65
Tamboara,Paraná,-23.1995071,-52.5000131,2025-05-10,25.0,20.1,93,43,0,9.5,28.0,23.1,9.7,251,29250.43,4.5
Tamboara,Paraná,-23.1995071,-52.5000131,2025-05-11,24.9,16.8,0,0,0,0.0,25.7,17.4,16.0,102,36473.52,5.8
Tamboara,Paraná,-23.1995071,-52.5000131,2025-05-12,24.0,15.4,3,2,0,0.0,24.9,14.7,18.7,87,34659.49,5.75
Tapejara,Paraná,-23.7334411,-52.8701739,2025-05-10,24.6,18.3,98,31,0,1.0,26.1,19.1,16.0,222,29324.81,5.75
Tapejara,Paraná,-23.7334411,-52.8701739,2025-05-11,24.1,15.4,3,0,0,0.0,25.1,15.6,15.1,113,36905.39,5.75
Tapejara,Paraná,-23.7334411,-52.8701739,2025-05-12,23.1,14.7,3,1,0,0.0,23.3,13.8,18.4,80,34863.64,5.7
Tapira,Paraná,-23.323146,-53.0712033,2025-05-10,25.0,19.3,85,24,0,7.5,26.6,20.3,14.2,240,34106.65,5.45
Tapira,Paraná,-23.323146,-53.0712033,2025-05-11,24.7,16.0,0,0,0,0.0,25.8,16.8,13.0,128,36983.77,5.8
Tapira,Paraná,-23.323146,-53.0712033,2025-05-12,24.0,15.4,3,1,0,0.0,24.9,15.6,14.8,90,34820.51,5.75
Teixeira Soares,Paraná,-25.3719287,-50.4586285,2025-05-10,20.6,13.5,98,29,0,8.9,21.8,12.9,11.1,165,27985.59,5.6
Teixeira Soares,Paraná,-25.3719287,-50.4586285,2025-05-11,21.6,11.3,0,0,0,0.0,20.7,10.5,13.0,113,35105.79,5.7
Teixeira Soares,Paraná,-25.3719287,-50.4586285,2025-05-12,19.3,11.3,3,0,0,0.0,19.0,10.6,14.8,95,17442.75,5.65
Telêmaco Borba,Paraná,-24.3282939,-50.6318021,2025-05-10,20.7,15.5,93,50,0,7.5,23.1,16.1,10.0,154,6515.64,5.5
Telêmaco Borba,Paraná,-24.3282939,-50.6318021,2025-05-11,23.1,13.7,3,0,0,0.0,23.3,13.9,11.8,118,35461.81,5.6
Telêmaco Borba,Paraná,-24.3282939,-50.6318021,2025-05-12,21.4,10.7,5,2,0,0.0,21.6,10.2,13.0,101,27643.26,5.5
Terra Boa,Paraná,-23.768329,-52.447002,2025-05-10,25.0,18.9,95,32,0,1.6,27.9,20.1,12.7,210,29545.48,5.1
Terra Boa,Paraná,-23.768329,-52.447002,2025-05-11,24.0,16.2,5,0,0,0.0,25.3,15.7,15.8,107,36879.13,5.75
Terra Boa,Paraná,-23.768329,-52.447002,2025-05-12,23.3,14.8,3,0,0,0.0,23.2,13.8,18.4,86,34802.28,5.65
Terra Rica,Paraná,-22.7264874,-52.6202541,2025-05-10,25.0,19.5,93,40,0,6.0,28.0,21.9,8.8,253,28694.59,3.95
Terra Rica,Paraná,-22.7264874,-52.6202541,2025-05-11,24.5,17.9,0,0,0,0.0,25.1,19.0,14.8,113,35554.87,5.9
Terra Rica,Paraná,-22.7264874,-52.6202541,2025-05-12,24.0,15.7,8,3,0,0.0,24.8,14.8,15.5,97,33171.3,5.5
Terra Roxa,Paraná,-24.1670468,-54.097432,2025-05-10,23.6,16.8,85,6,0,0.0,24.4,17.6,13.4,205,35304.44,5.7
Terra Roxa,Paraná,-24.1670468,-54.097432,2025-05-11,24.1,14.1,3,0,0,0.0,26.0,13.7,8.9,154,36541.8,5.7
Terra Roxa,Paraná,-24.1670468,-54.097432,2025-05-12,23.7,15.4,3,0,0,0.0,25.4,16.1,11.4,83,34684.71,5.65
Tibagi,Paraná,-24.5151667,-50.4101487,2025-05-10,20.8,15.9,93,46,0,10.1,23.1,16.7,9.0,163,3143.91,5.5
Tibagi,Paraná,-24.5151667,-50.4101487,2025-05-11,22.9,13.6,0,0,0,0.0,23.0,13.6,11.0,115,35600.04,5.6
Tibagi,Paraná,-24.5151667,-50.4101487,2025-05-12,21.4,11.3,6,2,0,0.0,21.5,10.8,12.1,100,24903.62,5.5
Tijucas do Sul,Paraná,-25.9273376,-49.179265,2025-05-10,19.9,13.9,100,35,0,8.9,21.1,13.4,11.5,165,23643.99,5.55
Tijucas do Sul,Paraná,-25.9273376,-49.179265,2025-05-11,17.5,11.3,18,6,0,0.0,16.4,11.0,13.0,91,35459.44,5.55
Tijucas do Sul,Paraná,-25.9273376,-49.179265,2025-05-12,15.3,12.1,15,2,0,0.0,15.1,11.2,13.4,99,5123.64,4.55
Toledo,Paraná,-24.7222438,-53.7402476,2025-05-10,22.9,15.2,68,5,0,0.2,23.1,14.8,15.2,175,36438.6,5.7
Toledo,Paraná,-24.7222438,-53.7402476,2025-05-11,23.0,12.6,3,0,0,0.0,24.1,11.3,12.5,129,36693.39,5.65
Toledo,Paraná,-24.7222438,-53.7402476,2025-05-12,23.2,13.5,0,0,0,0.0,24.3,13.1,16.6,72,35190.42,5.6
Tomazina,Paraná,-23.7777942,-49.9546482,2025-05-10,24.8,20.1,95,54,5,20.3,29.1,22.1,11.6,277,2271.82,2.65
Tomazina,Paraná,-23.7777942,-49.9546482,2025-05-11,22.7,15.9,8,3,0,0.0,21.9,15.7,18.6,112,35065.9,5.9
Tomazina,Paraná,-23.7777942,-49.9546482,2025-05-12,22.3,15.6,12,4,0,0.2,22.6,15.2,20.2,118,22098.78,5.85
Três Barras do Paraná,Paraná,-25.4212699,-53.1837577,2025-05-10,23.5,14.8,23,1,0,0.0,23.8,14.5,12.3,169,35985.25,5.7
Três Barras do Paraná,Paraná,-25.4212699,-53.1837577,2025-05-11,22.4,10.0,0,0,0,0.0,22.1,8.9,10.0,118,36558.58,5.65
Três Barras do Paraná,Paraná,-25.4212699,-53.1837577,2025-05-12,24.2,12.0,3,0,0,0.1,25.5,11.7,9.9,73,34784.09,5.65
Tunas do Paraná,Paraná,-24.9739476,-49.0862467,2025-05-10,21.4,15.9,100,62,5,13.2,23.6,15.7,8.0,140,8319.62,1.15
Tunas do Paraná,Paraná,-24.9739476,-49.0862467,2025-05-11,19.4,13.8,5,0,0,0.0,18.6,13.2,12.3,110,24349.7,5.55
Tunas do Paraná,Paraná,-24.9739476,-49.0862467,2025-05-12,17.8,13.7,3,1,0,0.0,17.6,13.3,11.9,106,5255.17,5.65
Tuneiras do Oeste,Paraná,-23.8672329,-52.8749376,2025-05-10,25.1,18.6,98,31,0,2.0,26.5,19.4,15.9,219,29999.5,5.75
Tuneiras do Oeste,Paraná,-23.8672329,-52.8749376,2025-05-11,24.4,15.2,3,0,0,0.0,25.4,15.4,13.7,111,36879.14,5.75
Tuneiras do Oeste,Paraná,-23.8672329,-52.8749376,2025-05-12,23.8,15.2,3,1,0,0.0,23.9,14.5,17.1,80,34742.28,5.65
Tupãssi,Paraná,-24.5857992,-53.5129537,2025-05-10,23.9,16.4,68,5,0,1.8,24.5,15.1,15.9,175,36668.2,5.7
Tupãssi,Paraná,-24.5857992,-53.5129537,2025-05-11,23.0,14.4,3,0,0,0.0,23.7,12.8,15.2,133,36720.14,5.65
Tupãssi,Paraná,-24.5857992,-53.5129537,2025-05-12,23.4,14.3,0,0,0,0.0,24.3,14.3,16.2,87,35134.65,5.6
Turvo,Paraná,-25.043933,-51.5392172,2025-05-10,21.8,11.8,98,24,0,6.8,23.0,11.0,9.7,142,32580.24,5.5
Turvo,Paraná,-25.043933,-51.5392172,2025-05-11,19.7,8.4,0,0,0,0.0,19.1,6.4,15.1,112,36639.69,5.75
Turvo,Paraná,-25.043933,-51.5392172,2025-05-12,19.3,10.8,3,1,0,0.0,18.3,8.9,16.6,82,30270.56,5.7
